osm_node_id,longitude_deg,latitude_deg,projected_x_m,projected_y_m,projected_crs,source_tags_json,road_parent_ways_json,rail_parent_ways_json,model_connection_status
10299481853,73.0009368,19.1993896,289817.03898864327,2124095.86192604,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":856527018}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":856070017}]",native_shared_node_not_transfer_or_conflict_permission
10299481859,72.9954379,19.1957455,289234.05174811604,2123699.0946009257,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":856527016}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":856070032}]",native_shared_node_not_transfer_or_conflict_permission
10542368044,73.1096839,18.4542483,300375.6569163221,2041485.662345278,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""trunk"",""geometry_role"":""native_way_geometry"",""osm_way_id"":30893183}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":45096981}]",native_shared_node_not_transfer_or_conflict_permission
10544292815,73.0549899,19.1893171,295489.5186322879,2122916.4594049496,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":212659562}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1314257241}]",native_shared_node_not_transfer_or_conflict_permission
10544292816,73.0549787,19.1892941,295488.31221665215,2122913.9264449673,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":212659562}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":597632391}]",native_shared_node_not_transfer_or_conflict_permission
10576000694,72.8368628,19.1032191,272428.018866558,2113654.8636248186,EPSG:32643,{},"[{""feature_value"":""primary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1267442521},{""feature_value"":""primary_link"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1469188356}]","[{""feature_value"":""construction"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1133962083}]",native_shared_node_not_transfer_or_conflict_permission
10610814599,72.8526651,18.9908654,273938.9049638865,2101195.7073579915,EPSG:32643,{},"[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1138297846}]","[{""feature_value"":""disused"",""geometry_role"":""native_way_geometry"",""osm_way_id"":55796948}]",native_shared_node_not_transfer_or_conflict_permission
10614318019,72.845139,18.9636658,273109.45101834973,2098194.136883862,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1145119323}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1512528326}]",native_shared_node_not_transfer_or_conflict_permission
10614318020,72.8451278,18.9636343,273108.22865887755,2098190.663958987,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1145119326}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1512528326}]",native_shared_node_not_transfer_or_conflict_permission
10614318021,72.8455579,18.9651878,273155.63458233373,2098362.0972838607,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1118221837}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1512528326}]",native_shared_node_not_transfer_or_conflict_permission
10614318022,72.8458172,18.9713629,273191.30560090434,2099045.405837889,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1305216320}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1384317779}]",native_shared_node_not_transfer_or_conflict_permission
10683268053,72.8359053,19.3738125,272700.27076060825,2143614.2877953644,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539067101}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":4774156}]",native_shared_node_not_transfer_or_conflict_permission
10683268054,72.835946,19.3738315,272704.5735388965,2143616.3377597253,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539067101}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":327789342}]",native_shared_node_not_transfer_or_conflict_permission
10683268055,72.8360335,19.3738641,272713.8125339039,2143619.8317999262,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539067101}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":397736189}]",native_shared_node_not_transfer_or_conflict_permission
10683268056,72.8360802,19.3738821,272718.7443498171,2143621.763150675,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539067101}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":662169599},{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539450271}]",native_shared_node_not_transfer_or_conflict_permission
10683268057,72.8361256,19.3738989,272723.5379064296,2143623.5633576377,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""path"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539067101}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1539409873}]",native_shared_node_not_transfer_or_conflict_permission
