source,station_key,osm_relation_id,relation_name,relation_anchor_features,member_order,member_feature_id,member_role,geometry_inventory_status,member_tags_json,candidate_boarding_node,member_mode_status,relation_mode_status
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",5,node/7510862066,stop,available,"{""alt_name"":""Wadala Road"",""alt_name:en"":""Wadala Road"",""name"":""Vadala Road"",""name:en"":""Vadala Road"",""name:hi"":""वडाला रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",6,node/7510862065,stop,available,"{""alt_name"":""Wadala Road"",""alt_name:en"":""Wadala Road"",""name"":""Vadala Road"",""name:en"":""Vadala Road"",""name:hi"":""वडाला रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",7,node/7510862064,stop,available,"{""alt_name"":""Wadala Road"",""alt_name:en"":""Wadala Road"",""name"":""Vadala Road"",""name:en"":""Vadala Road"",""name:hi"":""वडाला रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""4"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",8,way/1343435465,platform_entry_only,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",9,way/1343435464,platform_entry_only,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",10,node/12430382573,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",11,node/12430382571,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",12,node/12430382572,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",13,way/1343435453,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",14,way/151203899,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
