match_kind,match_id,profile_id,upper_bounds_m,fares_money,linear_rate_money_per_m,currency_code,source,source_id
line,BEST_1906,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1907,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1912,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1913,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_3828,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_3829,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_3872,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_3873,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4355,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4356,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4513,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4514,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4388,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4389,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4526,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4527,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1922,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1923,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1924,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_1925,BEST_non_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,10.0|15.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4265,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4266,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
