state_code,district_code,subdistrict_code,town_code,area_name,residence,household_size_band,households_count,all_size_households_count,all_size_normal_household_persons_count,published_mean_household_size_persons,universe,source,source_id,source_sha256,source_row,observation_year,status
27,517,04158,000000,Sub-district - Dahanu,Urban,11-14,159,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04158,000000,Sub-district - Dahanu,Urban,15+,22,14468,63555,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,699,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,1,922,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,2,2832,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,3,3152,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,4,4767,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,5,5092,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,6,4076,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,7-10,5432,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Total,11-14,414,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
