region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",urban,male,major_activity,participation,67.2,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",urban,female,major_activity,participation,76.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",urban,person,major_activity,participation,71.4,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural+urban,male,major_activity,participation,72.5,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural+urban,female,major_activity,participation,73.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Socializing and communication, community participation and religious practice",rural+urban,person,major_activity,participation,72.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural,male,major_activity,participation,91.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural,female,major_activity,participation,81.4,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural,person,major_activity,participation,86.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",urban,male,major_activity,participation,94.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",urban,female,major_activity,participation,92.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
