state_code,district_code,residence,district_name,mode_raw,distance_band_km_raw,persons_count,male_persons_count,female_persons_count,observation_year,universe,source,source_id,source_sha256,calibration_eligible
27,517,Total,Thane,No travel,2-5,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,6-10,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,11-20,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,21-30,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,31-50,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,51+,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,No travel,Distance not stated,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,Total,441521,339424,102097,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,No travel,125695,80607,45088,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,0-1,57594,43466,14128,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,2-5,76544,62984,13560,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,6-10,61579,49984,11595,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,11-20,38463,32114,6349,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,21-30,22509,19077,3432,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,31-50,27585,23601,3984,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,51+,24488,21527,2961,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,All Modes,Distance not stated,7064,6064,1000,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,Total,90518,66905,23613,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,0-1,45203,33047,12156,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,2-5,29784,22547,7237,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,6-10,15531,11311,4220,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,11-20,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,21-30,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,31-50,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,51+,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,On foot,Distance not stated,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,Total,21564,20545,1019,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,No travel,0,0,0,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,0-1,1829,1705,124,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,2-5,9890,9465,425,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,6-10,5711,5436,275,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Rural,Thane,Bicycle,11-20,2661,2554,107,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
