office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256
Mumbai (E),3,registered_stock_20170331,office,15,15 Trucks & Lorries,761,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,16,16 Tankers,177,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,17,17 Del. Van(4 Wh.),5424,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,18,18 Del. Van(3 wh.),8553,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,19,19 Tractors,43,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,20,20 Trailers,11,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,21,21 Others.,869,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (E),3,registered_stock_20170331,office,total_all_vehicles,Total,682071,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,1,1 Motor Cycles,188196,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,2,2 Scooters,90183,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,3,3 Mopeds,188,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,subtotal_two_wheelers,Total Two  wheelers,278567,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,4,4 Motor Cars,142036,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,5,5 Jeeps,125,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
