state_code,district_code,area_name,residence,age_years_or_band,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,520,District - Raigarh (24),Rural,50,30976,14584,16392,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2531,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,50,14552,7698,6854,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2531,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,51,21301,11521,9780,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2532,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,51,13208,6892,6316,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2532,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,51,8093,4629,3464,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2532,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,52,21024,11482,9542,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2533,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,52,13217,6962,6255,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2533,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,52,7807,4520,3287,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2533,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,53,15731,8759,6972,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2534,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,53,9359,4982,4377,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2534,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,53,6372,3777,2595,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2534,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,54,18576,10079,8497,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2535,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,54,11346,5976,5370,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2535,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,54,7230,4103,3127,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2535,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,55,33997,16024,17973,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2536,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,55,23963,10966,12997,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2536,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,55,10034,5058,4976,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2536,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,56,18743,9794,8949,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2537,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,56,12359,6229,6130,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2537,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,56,6384,3565,2819,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2537,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,57,13177,7155,6022,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2538,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,57,8329,4385,3944,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2538,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,57,4848,2770,2078,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2538,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,58,16345,8518,7827,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2539,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,58,10777,5364,5413,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2539,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,58,5568,3154,2414,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2539,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,59,12888,6745,6143,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2540,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,59,8344,4154,4190,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2540,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,59,4544,2591,1953,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2540,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,60,34254,15179,19075,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2541,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,60,25229,10812,14417,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2541,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,60,9025,4367,4658,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2541,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,61,14474,7129,7345,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2542,2011,historical_control_not_current_demand
