source,source_id,source_sha256,source_pdf_page,reference_date_basis,publisher_citation_year,state_name,district_name_as_printed,district_number_within_report_state,boundary_year,status,reference_year,age_label,male_persons_count,female_persons_count
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,8,20840,19074
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,8,20962,19123
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,9,20944,19200
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,9,21116,19302
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,9,21282,19399
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,9,21443,19490
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,9,21598,19575
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,10,21417,19471
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,10,21618,19607
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,10,21814,19738
