source,source_id,source_sha256,source_pdf_page,source_table,publisher_edition,area_name,geography_level,status,reference_date,age_label,age_partition,persons_thousands_count,male_thousands_count,female_thousands_count,unit_basis
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,5-9,five_year_or_open,8008,4266,3742,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,5-9,five_year_or_open,7623,4046,3578,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,10-14,five_year_or_open,8893,4794,4099,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,10-14,five_year_or_open,8631,4636,3995,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,10-14,five_year_or_open,8110,4342,3768,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,15-19,five_year_or_open,9903,5238,4665,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,15-19,five_year_or_open,9117,4915,4202,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,15-19,five_year_or_open,8865,4762,4103,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,20-24,five_year_or_open,10580,5574,5005,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,20-24,five_year_or_open,10260,5398,4862,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,20-24,five_year_or_open,9492,5083,4409,printed_table_18_heading
