dataset,indicator_code,indicator,observation_year,region,dimensions_json,reported_count,source,source_id,source_sha256,status
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Government""}",1064975,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Government""}",2339745,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Government""}",2397165,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Government""}",4736910,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Government""}",120127,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Government""}",121226,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Government""}",241353,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Government""}",32809,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Government""}",37115,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Government""}",69924,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Government""}",2492681,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Government""}",2555506,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Government""}",5048187,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Government""}",2523551,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Government""}",2584993,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Government Aided""}",9589225,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Government Aided""}",15698,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Government Aided""}",16089,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
