location_id,purpose,district_code,attraction_layer,nres_volume_m3,total_volume_m3,attraction_weight,radius_m,source
osm_node_10125611466,work,520,nres,0,2005316,2.53561e-05,300,derived
osm_node_10125611466,shopping,520,total,0,2005316,2.00532e+06,300,derived
osm_node_10129866098,work,520,nres,0,1337906,1.69171e-05,300,derived
osm_node_10131739217,work,520,nres,0,2005316,2.53561e-05,300,derived
osm_node_10131739217,shopping,520,total,0,2005316,2.00532e+06,300,derived
osm_node_10132465840,work,520,nres,0,1319218,1.66808e-05,300,derived
osm_node_10132465840,shopping,520,total,0,1319218,1.31922e+06,300,derived
osm_node_10132520069,work,518,nres,21065,1752084,2.11914e-05,300,derived
osm_node_10132520069,shopping,518,total,21065,1752084,1.75208e+06,300,derived
osm_node_10132643653,work,520,nres,0,2005316,2.53561e-05,300,derived
osm_node_10132643653,leisure,520,total,0,2005316,2.00532e+06,300,derived
osm_node_10132643654,work,520,nres,0,1319218,1.66808e-05,300,derived
osm_node_10132643654,shopping,520,total,0,1319218,1.31922e+06,300,derived
osm_node_10132643655,work,520,nres,0,1319218,1.66808e-05,300,derived
osm_node_10132643655,shopping,520,total,0,1319218,1.31922e+06,300,derived
osm_node_10132643656,work,520,nres,0,2125064,2.68703e-05,300,derived
osm_node_10132643656,leisure,520,total,0,2125064,2.12506e+06,300,derived
osm_node_10134607983,work,520,nres,0,1319218,1.66808e-05,300,derived
osm_node_10134607983,shopping,520,total,0,1319218,1.31922e+06,300,derived
osm_node_10137668560,work,520,nres,12154,1871848,2.73497e-05,300,derived
osm_node_10137668560,leisure,520,total,12154,1871848,1.87185e+06,300,derived
osm_node_10139498701,work,518,nres,73952,1673106,3.91209e-05,300,derived
osm_node_10139498701,shopping,518,total,73952,1673106,1.67311e+06,300,derived
osm_node_10139571860,work,520,nres,0,2613467,3.30458e-05,300,derived
osm_node_10139571860,shopping,520,total,0,2613467,2.61347e+06,300,derived
osm_node_10139641469,work,520,nres,0,1499022,1.89543e-05,300,derived
osm_node_10139641469,leisure,520,total,0,1499022,1.49902e+06,300,derived
osm_node_10142230846,work,518,nres,395826,1176365,0.000148114,300,derived
osm_node_10142230846,leisure,518,total,395826,1176365,1.17636e+06,300,derived
osm_node_10142871481,work,519,nres,30900,2795773,2.55784e-05,300,derived
osm_node_10142871481,shopping,519,total,30900,2795773,2.79577e+06,300,derived
osm_node_10146679042,work,520,nres,0,918721,1.16167e-05,300,derived
osm_node_10146679042,education,520,total,0,918721,918721,300,derived
osm_node_10150949587,work,520,nres,50433,1444893,3.35452e-05,300,derived
osm_node_10150949587,education,520,total,50433,1444893,1.44489e+06,300,derived
osm_node_10159011474,work,520,nres,169479,639072,5.94132e-05,300,derived
osm_node_10159011474,leisure,520,total,169479,639072,639072,300,derived
osm_node_10159386127,work,520,nres,0,1755069,2.21919e-05,300,derived
osm_node_10159386127,shopping,520,total,0,1755069,1.75507e+06,300,derived
osm_node_10159386128,work,520,nres,0,1755069,2.21919e-05,300,derived
osm_node_10159386128,shopping,520,total,0,1755069,1.75507e+06,300,derived
osm_node_10159387018,work,520,nres,0,1643748,2.07843e-05,300,derived
osm_node_10159387018,shopping,520,total,0,1643748,1.64375e+06,300,derived
osm_node_10159487412,work,520,nres,0,1914730,2.42107e-05,300,derived
osm_node_10159487412,shopping,520,total,0,1914730,1.91473e+06,300,derived
osm_node_10159497551,work,520,nres,0,1914730,2.42107e-05,300,derived
osm_node_10159497551,shopping,520,total,0,1914730,1.91473e+06,300,derived
osm_node_10159682891,work,518,nres,1012152,2029261,0.000371027,300,derived
osm_node_10162210617,work,520,nres,0,2514216,3.17909e-05,300,derived
osm_node_10162210617,leisure,520,total,0,2514216,2.51422e+06,300,derived
osm_node_10166350017,work,517,nres,13127,1125460,1.35046e-05,300,derived
osm_node_10166350017,education,517,total,13127,1125460,1.12546e+06,300,derived
osm_node_10168232369,work,518,nres,29775,1747087,2.42073e-05,300,derived
osm_node_10168232369,shopping,518,total,29775,1747087,1.74709e+06,300,derived
osm_node_10168330275,work,520,nres,0,354346,4.48051e-06,300,derived
osm_node_10168330275,education,520,total,0,354346,354346,300,derived
osm_node_10170584872,social,518,total,102117,1180236,1.18024e+06,300,derived
osm_node_10170584901,work,518,nres,67018,1444493,3.48876e-05,300,derived
osm_node_10170584902,work,518,nres,21065,1752084,2.11914e-05,300,derived
osm_node_10170584902,shopping,518,total,21065,1752084,1.75208e+06,300,derived
osm_node_10170584903,work,518,nres,41073,1898352,2.9362e-05,300,derived
osm_node_10170584903,shopping,518,total,41073,1898352,1.89835e+06,300,derived
osm_node_10170584904,work,518,nres,41073,1898352,2.9362e-05,300,derived
osm_node_10170584904,shopping,518,total,41073,1898352,1.89835e+06,300,derived
