location_id,purpose,geography_id,x_m,y_m,source
osm_node_1011184907,work,,371682.1492692872,2050752.6319031853,OSM_point_location_not_capacity
osm_node_1011184907,leisure,,371682.1492692872,2050752.6319031853,OSM_point_location_not_capacity
osm_node_1011184945,work,,371710.98898963694,2050754.4071502518,OSM_point_location_not_capacity
osm_node_1011184945,leisure,,371710.98898963694,2050754.4071502518,OSM_point_location_not_capacity
osm_node_10116588177,work,,365831.443530135,2050252.9867882826,OSM_point_location_not_capacity
osm_node_10116588177,education,,365831.443530135,2050252.9867882826,OSM_point_location_not_capacity
osm_node_10116588178,work,,365862.0703141133,2050398.578086248,OSM_point_location_not_capacity
osm_node_10116588178,education,,365862.0703141133,2050398.578086248,OSM_point_location_not_capacity
osm_node_10116648281,work,,365497.63467368326,2049329.127080122,OSM_point_location_not_capacity
osm_node_10116648281,leisure,,365497.63467368326,2049329.127080122,OSM_point_location_not_capacity
osm_node_10121328264,work,,371444.7114338373,2055714.787706743,OSM_point_location_not_capacity
osm_node_10121328266,work,,371452.3943746545,2055749.086992172,OSM_point_location_not_capacity
osm_node_10125611466,work,,369579.94785394525,2056828.4335477834,OSM_point_location_not_capacity
osm_node_10125611466,shopping,,369579.94785394525,2056828.4335477834,OSM_point_location_not_capacity
osm_node_10129866098,work,,371259.23584095214,2058697.162660511,OSM_point_location_not_capacity
osm_node_10131739217,work,,369528.32459252316,2056774.6939009945,OSM_point_location_not_capacity
osm_node_10131739217,shopping,,369528.32459252316,2056774.6939009945,OSM_point_location_not_capacity
osm_node_10132465840,work,,369091.8311323456,2056806.7877798148,OSM_point_location_not_capacity
osm_node_10132465840,shopping,,369091.8311323456,2056806.7877798148,OSM_point_location_not_capacity
osm_node_10132520069,work,27:518:99999:802794:1870:000000,274392.22071420413,2128508.758960813,OSM_point_location_not_capacity
osm_node_10132520069,shopping,27:518:99999:802794:1870:000000,274392.22071420413,2128508.758960813,OSM_point_location_not_capacity
osm_node_10132643653,work,,369540.97743259685,2056803.878733364,OSM_point_location_not_capacity
osm_node_10132643653,leisure,,369540.97743259685,2056803.878733364,OSM_point_location_not_capacity
osm_node_10132643654,work,,369097.06545600377,2056805.3018586107,OSM_point_location_not_capacity
osm_node_10132643654,shopping,,369097.06545600377,2056805.3018586107,OSM_point_location_not_capacity
osm_node_10132643655,work,,369103.3214887454,2056803.5432761055,OSM_point_location_not_capacity
osm_node_10132643655,shopping,,369103.3214887454,2056803.5432761055,OSM_point_location_not_capacity
osm_node_10132643656,work,,369543.6006486842,2056594.75172669,OSM_point_location_not_capacity
osm_node_10132643656,leisure,,369543.6006486842,2056594.75172669,OSM_point_location_not_capacity
osm_node_10134607983,work,,369110.126302348,2056801.7919724495,OSM_point_location_not_capacity
osm_node_10134607983,shopping,,369110.126302348,2056801.7919724495,OSM_point_location_not_capacity
osm_node_10137668560,work,,369516.61093192647,2056489.5364295992,OSM_point_location_not_capacity
osm_node_10137668560,leisure,,369516.61093192647,2056489.5364295992,OSM_point_location_not_capacity
osm_node_10139498701,work,27:518:99999:802794:2487:000000,285006.58499320294,2121245.0886085522,OSM_point_location_not_capacity
osm_node_10139498701,shopping,27:518:99999:802794:2487:000000,285006.58499320294,2121245.0886085522,OSM_point_location_not_capacity
osm_node_10139571860,work,,370717.93927277415,2056854.1244697433,OSM_point_location_not_capacity
osm_node_10139571860,shopping,,370717.93927277415,2056854.1244697433,OSM_point_location_not_capacity
osm_node_10139641469,work,,370611.31008175504,2056571.6735980653,OSM_point_location_not_capacity
osm_node_10139641469,leisure,,370611.31008175504,2056571.6735980653,OSM_point_location_not_capacity
osm_node_10142230846,work,,286680.2820342904,2125009.33786529,OSM_point_location_not_capacity
osm_node_10142230846,leisure,,286680.2820342904,2125009.33786529,OSM_point_location_not_capacity
osm_node_10142871481,work,27:519:99999:802794:0418:000000,270751.6143178146,2097086.0554318225,OSM_point_location_not_capacity
osm_node_10142871481,shopping,27:519:99999:802794:0418:000000,270751.6143178146,2097086.0554318225,OSM_point_location_not_capacity
osm_node_10146679042,work,,367856.86801856186,2057252.8689109602,OSM_point_location_not_capacity
osm_node_10146679042,education,,367856.86801856186,2057252.8689109602,OSM_point_location_not_capacity
osm_node_10150949587,work,,372425.47865398065,2044640.934186073,OSM_point_location_not_capacity
osm_node_10150949587,education,,372425.47865398065,2044640.934186073,OSM_point_location_not_capacity
